airportCodeIATA,airportCodeICAO,countryCode,Latitude,Longitude,continentCode
ABJ,DIAP,CI,5.256388889,-3.926944444,AF
ABQ,KABQ,USSC,35.05,-106.58,NA
ABV,DNAA,NG,9,7.25,AF
ACC,DGAA,GH,5.595277778,-0.170833333,AF
ADD,HAAB,ET,8.977777778,38.79805556,AF
ADL,YPAD,AU,-34.94833333,138.5347222,OC
AFW,KAFW,USSC,32.99,-97.32,NA
AGT,SGES,PY,-25.5,-54.83333333,SA
AKL,NZAA,NZ,-37.01111111,174.7991667,OC
ALA,UAAA,KZ,43.35,77.03333333,AS
ALC,LEAL,ES,38.28,-0.56,EU
ALG,DAAG,DZ,36.69333333,3.217222222,AF
AMD,VAAH,IN,23.06638889,72.62416667,AS
AMM,OJAI,JO,31.71666667,36,AS
AMS,EHAM,NL,52.30833333,4.768055556,EU
ANC,PANC,USNW,61.16916667,-149.9852778,NA
ARN,ESSA,SE,59.66194444,17.93388889,EU
ASB,UTAA,TM,37.98166667,58.36083333,AS
ASU,SGAS,PY,-25.23916667,-57.51916667,SA
ATH,LGAV,GR,37.93638889,23.94444444,EU
ATL,KATL,USSE,33.64083333,-84.42722222,NA
AUH,OMAA,AE,24.43333333,54.65,AS
AUS,KAUS,USSC,30.2,-97.66666667,NA
BAH,OBBI,BH,26.27083333,50.6375,AS
BAQ,SKBQ,CO,10.89611111,-74.77888889,SA
BCN,LEBL,ES,41.29694444,2.078333333,EU
BEG,LYBE,RS,44.81916667,20.31222222,EU
BEY,OLBA,LB,33.81277778,35.49027778,AS
BFI,KBFI,USNW,47.52888889,-122.2994444,NA
BGI,TBPB,BB,13.07222222,-59.49305556,SA
BGY,LIME,IT,45.66888889,9.700277778,EU
BGW,ORBI,IQ,33.25,44.24,AS
BHX,EGBB,GB,52.45305556,-1.746388889,EU
BKK,VTBS,TH,13.68583333,100.7488889,AS
BKO,GABS,ML,12.63222222,-8.026666667,AF
BLQ,LIPE,IT,44.53083333,11.29694444,EU
BLR,VOBL,IN,13.19888889,77.70555556,AS
BNE,YBBN,AU,-27.425,153.0855556,OC
BOD,LFBD,FR,44.82944444,-0.714444444,EU
BOG,SKBO,CO,4.7,-74.15,SA
BOJ,LBBG,BG,42.56972222,27.51527778,EU
BOM,VABB,IN,19.08805556,72.85166667,AS
BOS,KBOS,USNE,42.365,-71.00527778,NA
BRU,EBBR,BE,50.90138889,4.484444444,EU
BSL,LFSB,CH,47.59,7.53,EU
BUD,LHBP,HU,47.43333333,19.23333333,EU
BWI,KBWI,USNE,39.17,-76.67,NA
BWN,WBSB,BN,4.925,114.9277778,AS
BZV,FCBB,CG,-4.251944444,15.25472222,AF
CAI,HECA,EG,30.1375,31.40694444,AF
CAN,ZGGG,CNS,23.18333333,113.2661111,AS
CCJ,VOCL,IN,11.13333333,75.95,AS
CCS,SVMI,VE,10.60638889,-66.98916667,SA
CCU,VECC,IN,22.6525,88.44916667,AS
CDG,LFPG,FR,49.00972222,2.548611111,EU
CEB,RPVM,PH,10.33166667,123.9066667,AS
CGK,WIII,ID,-6.116666667,106.65,AS
CGN,EDDK,DE,50.86583333,7.142777778,EU
CGO,ZHCC,CNN,34.8,113.65,AS
CHC,NZCH,NZ,-43.48833333,172.5333333,OC
CKG,ZUCK,CNW,29.5,106.35,AS
CKY,GUCY,GN,9.576388889,-13.61083333,AF
CLO,SKCL,CO,3.546111111,-76.385,SA
CLT,KCLT,USSE,35.21916667,-80.93583333,NA
CMB,VCBI,LK,7.175,79.88472222,AS
CMN,GMMN,MA,33.36666667,-7.586666667,AF
CNS,YBCS,AU,-16.88333333,145.7516667,OC
COK,VOCI,IN,9.944444444,76.27194444,AS
COO,DBBB,BJ,6.354166667,2.385555556,AF
CPH,EKCH,DK,55.60805556,12.63333333,EU
CPT,FACT,ZA,-33.96472222,18.60222222,AF
CRK,RPLC,PH,15.18583333,120.5597222,AS
CTS,RJCC,JP,42.79583333,141.6691667,AS
CTU,ZUUU,CNW,30.7,103.95,AS
CUN,MMUN,MX,21.03333333,-86.86666667,SA
CVG,KCVG,USNC,39.04777778,-84.66861111,NA
CWB,SBCT,BR,-25.52666667,-49.17777778,SA
DAC,VGHS ,BD,23.78055556,90.38611111,AS
DAR,HTDA,TZ,-6.875277778,39.20194444,AS
DEL,VIDP,IN,28.57361111,77.10083333,AS
DEN,KDEN,USNC,39.85472222,-104.7180556,NA
DFW,KDFW,USSC,32.89444444,-97.02972222,NA
DKR,GOOY,SN,14.74083333,-17.49055556,AF
DLA,FKKD,CM,4.013333333,9.709166667,AF
DLC,ZYTL,CNN,38.96666667,121.55,AS
DME,UUDD,RU,55.4,37.88333333,AS
DMK,VTBD,TH,13.91111111,100.6083333,AS
DMM,OEDF,SA,26.46666667,49.8,AS
DOH,OTBD,QA,25.25694444,51.56638889,AS
DPS,WADD,ID,-8.748611111,115.165,AS
DTW,KDTW,USNC,42.21861111,-83.34861111,NA
DUB,EIDW,IE,53.42138889,-6.27,EU
DUR,FALE,ZA,-29.61444444,31.11638889,AF
DUS,EDDL,DE,51.28111111,6.752777778,EU
DWC,OMDW,AE,24.91805556,55.17527778,AS
DXB,OMDB,AE,25.25,55.35777778,AS
EBB,HUEN,UG,0.0425,32.43805556,AF
EBL,ORER,IQ,36.23333333,43.96666667,AS
EDI,EGPH,GB,55.94861111,-3.350277778,EU
EDL,HKEL,KE,0.516666667,35.28333333,AF
ELP,KELP,USSC,31.5,-106.4,NA
EMA,EGNX,GB,52.83,-1.329444444,EU
ESB,LTAC,TR,40.13333333,33,EU
EVN,UDYZ,AM,40.15,44.4,AS
EWR,KEWR,USNE,40.69583333,-74.17166667,NA
EZE,SAEZ,AR,-34.82,-58.53388889,SA
FCO,LIRF,IT,41.80027778,12.23888889,EU
FDF,TFFF,MQ,14.58972222,-61.00611111,SA
FIH,FZAA,CD,-4.383333333,15.43333333,AF
FOC,ZSFZ,CNS,26.1,119.2833333,AS
FRA,EDDF,DE,50.03888889,8.570555556,EU
FRU,UCFM,KG,42.83333333,74.56666667,AS
FUK,RJFF,JP,33.58222222,130.4533333,AS
GDL,MMGL,MX,20.52388889,-103.3125,SA
GEO,SYCJ,GY,6.5,-58.25,SA
GIG,SBGL,BR,-22.82138889,-43.24944444,SA
GLA,EGPF,GB,55.86666667,-4.433333333,EU
GMP,RKSS,KR,37.55111111,126.7852778,AS
GOT,ESGG,SE,57.66666667,12.28333333,EU
GRU,SBGR,BR,-23.43333333,-46.48333333,SA
GSO,KGSO,USNE,36.1,-79.94,NA
GUA,MGGT,GT,14.58194444,-90.5275,SA
GUM,PGUM,GU,13.48,144.7911111,AS
GVA,LSGG,CH,46.23805556,6.108888889,EU
GYD,UBBB,AZ,40.5,49.98333333,AS
GYE,SEGU,EC,-2.154444444,-79.87555556,SA
HAM,EDDH,DE,53.63027778,9.988333333,EU
HAN,VVNB,VN,21.03583333,105.89,AS
HEL,EFHK,FI,60.32555556,24.97166667,EU
HGH,ZSHC,CNE,30.33333333,120.2333333,AS
HHN,EDFH,DE,49.95,7.266666667,EU
HKG,VHHH,HK,22.31666667,113.9166667,AS
HKT,VTSP,TH,8.110555556,98.3125,AS
HND,RJTT,JP,35.55361111,139.7658333,AS
HNL,PHNL,USNW,21.32583333,-157.9216667,NA
HRE,FVRG,ZW,-17.92277778,31.10138889,AF
HYD,VOHS,IN,17.26027778,78.39694444,AS
IAD,KIAD,USNE,38.95,-77.45,NA
IAH,KIAH,USSC,29.98333333,-95.34,NA
ICN,RKSI,KR,37.425,126.375,AS
IFN,OIFM,IR,32.75,51.85,AS
IKA,OIIE,IR,35.40972222,51.15083333,AS
IND,KIND,USNC,39.71722222,-86.29444444,NA
ISB,OPIS,PK,33.61388889,73.10416667,AS
IST,LTBA,TR,40.97666667,28.81527778,EU
