,wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,Total Revenue,target
0,0.0,0.0,0.0,39.0,40.0,40.0,38.0,40.0,38.0,40.0,40.0,35.0,40.0,40.0,35.0,40.0,4277.75499975813,32.0
1,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,54.0
2,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,34.0
3,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,67.0
4,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,45.0
5,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,63.0
6,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
7,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,67.0
8,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,58.0
9,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,50.0
10,0.0,5.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,4421.679105084653,32.0
11,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,63.0
12,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,41.0
13,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,44.0
14,0.0,7.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4438.809977674501,60.0
15,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
16,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
17,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
18,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,53.0
19,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,32.0
20,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,68.0
21,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,64.0
22,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,74.0
23,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,32.0
24,0.0,2.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,38.0,39.0,40.0,38.0,4335.015001481777,49.0
25,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,56.0
26,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,61.0
27,0.0,7.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4436.841437011681,55.0
28,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,34.0
29,0.0,9.0,4.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4442.525377142905,32.0
30,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,54.0
31,0.0,4.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,39.0,4385.164215772413,32.0
32,0.0,6.0,2.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,4435.968007608888,32.0
33,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,32.0
34,0.0,1.0,0.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,40.0,37.0,38.0,40.0,36.0,4268.250339957617,32.0
