,wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,Total Revenue,target
0,0.0,0.0,1.0,37.0,36.0,40.0,36.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,34.0,35.0,40.0,40.0,37.0,40.0,40.0,40.0,38.0,39.0,40.0,12041.524398594764,44.0
1,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,75.0
2,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,48.0
3,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,85.0
4,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,66.0
5,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,81.0
6,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,43.0
7,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,80.0
8,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,77.0
9,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,65.0
10,0.0,0.0,0.0,40.0,37.0,40.0,40.0,40.0,39.0,38.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,12280.238906066052,42.0
11,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,80.0
12,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,62.0
13,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,51.0
14,0.0,3.0,2.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12382.265080958767,78.0
15,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,43.0
16,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,41.0
17,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,42.0
18,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,73.0
19,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,41.0
20,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,90.0
21,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,74.0
22,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,49.0
23,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,42.0
24,0.0,0.0,0.0,40.0,34.0,38.0,40.0,40.0,37.0,35.0,39.0,37.0,40.0,35.0,37.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,39.0,38.0,40.0,40.0,11976.348898780112,63.0
25,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,74.0
26,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,79.0
27,0.0,2.0,1.0,40.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12375.8922552016,75.0
28,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,50.0
29,0.0,4.0,3.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,12388.637906715936,42.0
30,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,68.0
31,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,42.0
32,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,41.0
33,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,42.0
34,0.0,0.0,0.0,40.0,33.0,37.0,40.0,40.0,35.0,34.0,38.0,36.0,40.0,34.0,36.0,40.0,39.0,40.0,40.0,40.0,34.0,39.0,38.0,37.0,40.0,40.0,11799.92949147128,43.0
35,0.0,1.0,0.0,40.0,38.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,12332.547913828212,42.0
36,0.0,0.0,0.0,40.0,35.0,39.0,40.0,40.0,38.0,37.0,40.0,38.0,40.0,37.0,38.0,40.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,39.0,40.0,40.0,12150.376425878418,73.0
