wt0,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,wt26,wt27,wt28,wt29,wt30,wt31,wt32,wt33,wt34,wt35,wt36,wt37,wt38,wt39,wt40,wt41,wt42,wt43,wt44,wt45,wt46,wt47,wt48,wt49,wt50,Total Revenue,target
0,0,6,60,57,60,60,57,60,60,60,55,60,60,54,60,60,57,60,60,59,60,60,60,55,60,60,56,56,60,60,55,60,60,60,59,57,55,56,60,60,60,58,60,60,60,60,60,59,56,57,73174.75607,89
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,116
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,118
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,121
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,0
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,71
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,88
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,101
0,3,0,60,56,59,60,60,60,60,60,59,57,60,59,60,58,60,60,56,60,60,60,60,60,60,56,60,56,60,60,57,56,60,60,59,56,60,57,56,59,59,58,56,60,60,59,60,59,60,60,73345.80579,75
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,97
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,121
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,90
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,130
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,117
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,83
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,75
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,124
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,80
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,0
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,105
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,81
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,93
0,1,0,59,53,57,60,60,60,58,60,56,55,60,56,60,55,60,60,54,60,60,60,60,60,59,54,60,53,60,60,54,54,60,59,57,53,60,55,53,56,57,55,54,60,58,56,60,56,60,59,71586.77389,0
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,128
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,76
0,5,0,60,58,60,60,60,60,60,60,60,59,60,60,60,60,60,60,58,60,60,60,60,60,60,58,60,58,60,60,59,58,60,60,60,58,60,59,58,60,60,60,58,60,60,60,60,60,60,60,74302.32408,88
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,70
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,80
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,111
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,95
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,87
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,97
0,5,0,60,57,60,60,60,60,60,60,60,58,60,60,60,59,60,60,57,60,60,60,60,60,60,57,60,57,60,60,58,58,60,60,60,57,60,58,57,60,60,59,58,60,60,60,60,60,60,60,74017.34579,102
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,88
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,0
0,0,0,58,52,56,60,59,59,56,60,55,53,59,55,60,54,60,59,52,59,60,60,60,60,58,52,60,52,59,59,53,53,59,58,56,52,60,53,52,55,56,54,53,60,57,55,58,55,60,58,70477.75625,0
0,2,0,60,55,58,60,60,60,59,60,58,56,60,58,60,56,60,60,55,60,60,60,60,60,60,55,60,54,60,60,56,55,60,60,58,55,60,56,54,58,58,57,55,60,59,57,60,57,60,60,72520.81093,116
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,0
0,6,0,60,58,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,59,60,58,60,60,59,59,60,60,60,58,60,60,58,60,60,60,59,60,60,60,60,60,60,60,74469.71684,74
0,7,1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,74764.69164,100
