,request,tor,delivery_time
0,43,1,1
1,45,2,0
2,4,3,0
3,7,4,1
4,23,5,1
5,38,6,1
6,14,7,2
7,18,8,0
8,43,9,2
9,3,10,1
10,42,11,0
11,37,12,0
12,15,13,1
13,16,14,2
14,3,15,1
15,19,16,1
16,9,17,1
17,46,18,1
18,23,19,0
19,8,20,0
20,22,21,1
21,32,22,0
22,35,23,2
23,43,24,0
24,34,25,0
25,47,26,0
26,42,27,2
27,12,28,0
28,36,29,1
29,28,30,2
30,33,31,2
31,42,32,1
32,16,33,1
33,33,34,1
34,15,35,0
35,2,36,2
36,21,37,0
37,29,38,0
38,34,39,1
39,11,40,1
40,25,41,2
41,46,42,0
42,23,43,0
43,29,44,2
44,19,45,1
45,42,46,2
46,39,47,0
47,31,48,1
48,6,49,1
49,45,50,0
50,45,51,0
51,4,52,1
52,41,53,0
53,7,54,1
54,31,55,2
55,49,56,2
56,37,57,0
57,21,58,2
58,4,59,1
59,43,60,1
